Venture Name,Website,HKDTL Cohort,University KTO,Venture Value Proposition,Tech IP,Founders Background,Seeking Stakeholders,Why Now
Nexodata,https://nexodata.io,2023-24,Chinese University of Hong Kong,"Nexodata provides secure edge-to-cloud data transmission and storage platform using Network Coding and Secret Sharing algorithms. Enables data sharding into multiple components without replication, resulting in increased availability, enhanced privacy and security, and fault-tolerant storage across multiple clouds.","Patented Network Coding and Secret Sharing algorithms for data sharding. LF Edge Associate Member technology. Proprietary secure platform for information transmission and storage.","Research team from CUHK with expertise in network coding and distributed systems. LF Edge ecosystem participant with academic research foundation.","investors,customers,distribution,tech","Growing demand for edge computing and multi-cloud storage solutions. Data privacy regulations driving need for secure, distributed storage architectures."
Gut Rhythm R&D (Hong Kong) Limited,https://gutrhythmrdhk.weebly.com/,2023-24,Chinese University of Hong Kong,"Gut Rhythm offers drug-testing services using proprietary gastrointestinal slow-wave network analysis protocol. Creates unique electrophysiological drug profiles with comprehensive testing reports delivered in 1 day. Plans to launch subscription service to standardized electrical drug databases.","IP held at CUHK with US and China patents in progress for gastrointestinal slow-wave network analysis protocol. Self-developed automatic analytical pipeline for rapid drug profiling.","CUHK research team spin-off with expertise in gastrointestinal electrophysiology and drug testing methodologies.","investors,customers,distribution","Pharmaceutical industry seeking faster, more cost-effective drug screening methods. Growing need for standardized drug databases and rapid testing protocols in drug development pipelines."
PuroChem Limited,http://www.purochemhk.com/,2023-24,Hong Kong University of Science and Technology,"PuroChem develops and manufactures original brand DMCC equipment enabling highly scalable, cost-effective and environmentally friendly purification of therapeutics and nutraceuticals for aging society needs. Spin-off of PharmacoGenetics Limited.","Patent-protected Dispersed Mobile-phase Countercurrent Chromatography (DMCC) technology platform developed at HKUST. Champion of original DMCC equipment design and production.","Founded by HKUST researchers with expertise in chromatography and biotech manufacturing. Backed by HKUST R&D Co. through PharmacoGenetics Limited.","investors,customers,distribution","Aging global population driving increased demand for therapeutics and nutraceuticals. Industry push for environmentally sustainable manufacturing processes and cost-effective purification methods."
Codex Energy,https://codexenergy.com/,2023-24,Not specified,"Codex Energy develops and operates High-Performance Computing datacenters powered by carbon-negative energy from stranded natural gas. Provides infrastructure for Bitcoin mining and AI/ML compute applications with vertically integrated full-stack solutions including immersion cooling, power systems, and cloud automation.","Proprietary full-stack immersion cooling technology, power systems, and cloud-based automation and systems management. All technologies developed in-house for off-grid harsh environments.","Team with expertise in HPC infrastructure, energy systems, and datacenter operations. Capability to develop integrated hardware and software solutions.","investors,customers,tech","Explosive growth in AI/ML compute demand. ESG pressure on crypto mining operations. Abundance of stranded natural gas requiring monetization while addressing carbon emissions."
Meat the Next,https://meattn.com/,2023-24,Not specified,"Meat the Next creates nutritionally balanced New Proteins products using patented technologies and unique raw materials like non-GMO Soy and Tiger Nuts. Offers dairy-free products with enhanced taste and texture. Developed World's First Tiger Nut Oat Soy Milk.","Patented technologies for processing non-GMO Soy and Tiger Nuts. Proprietary formulations for dairy-free products with superior organoleptic properties.","Team with expertise in food technology, nutrition science, and sustainable food production. Market recognition for innovative product development.","investors,customers,distribution","Climate change driving shift to plant-based diets. Growing consumer demand for dairy alternatives with superior taste and nutrition. Increasing awareness of sustainable food production."
Provectus Therapeutics,https://provectustherapeutics.com/,2023-24,Chinese University of Hong Kong,"Provectus Therapeutics develops advanced AI-powered single cell analytic platform for Precision Oncology Research, Novel Drug Development and Personalized Cancer Treatment Prediction. Applies AI and Microfluidics for high throughput drug screening using single cell culture platform.","Proprietary AI algorithms for single cell analysis. Microfluidics-based single cell culture platform for high throughput drug screening. State-of-the-art technologies for personalized treatment prediction.","CUHK biotech spin-off with expertise in single cell biology, artificial intelligence, microfluidics, and precision oncology.","investors,customers,tech,hiring","Precision medicine revolution in oncology. AI breakthroughs enabling single-cell analysis at scale. Growing demand for personalized cancer treatment approaches and novel drug screening platforms."
Kodifly Limited,https://www.kodifly.com/,2023-24,Not specified,"Kodifly specializes in advanced spatial intelligence and transport infrastructure monitoring. Creates real-time digital twins using cutting-edge LiDAR technology, delivering actionable insights for infrastructure challenges like deformation, landslides, and vegetation encroachment through precise 3D point cloud processing.","Proprietary LiDAR-based digital twin technology. Advanced 3D point cloud processing algorithms for infrastructure monitoring and analysis.","Team with expertise in optical engineering, LiDAR technology, spatial intelligence, and infrastructure management.","investors,customers,distribution","Aging transport infrastructure requiring continuous monitoring. Climate change increasing risks of landslides and deformation. Digital twin technology maturity enabling real-time infrastructure management."
Astra Optics Limited,https://astra-optics.com/,2023-24,Chinese University of Hong Kong,"Astra Optics revolutionizes micro-additive manufacturing with groundbreaking 3D nanofabrication technology. Femtosecond projection laser patterning system and hydrogel-based multi-material fabrication platform overcome critical bottlenecks of low-throughput and high fabrication costs in current solutions.","Patented femtosecond projection laser patterning system. Proprietary hydrogel-based multi-material fabrication platform for 3D nanofabrication.","Founded by CUHK team of experts in optical engineering, material science, and nanomanufacturing with proven track record.","investors,customers,tech,hiring","Semiconductor and biotech industries demanding higher precision nanofabrication. Current additive manufacturing solutions facing throughput and cost barriers. Growing market for complex micro-scale manufacturing."


